postal_code,pc_id,latitude,longitude,zone,area,nb_pickups,nb_deliveries
75001,1,48.86263049,2.336293447,0,0,94,23
75002,2,48.86790338,2.344107167,0,0,11,24
75003,3,48.86305413,2.359361059,0,0,45,34
75004,4,48.85422828,2.357361938,0,0,8,9
75005,5,48.84450866,2.349859386,0,0,1,23
75006,6,48.84896809,2.332670899,0,0,49,52
75007,7,48.8560826,2.312438688,0,0,2,59
75008,8,48.87252727,2.31258256,0,0,136,65
75009,9,48.87689616,2.337460241,0,0,275,83
75010,10,48.87602856,2.361112905,0,0,14,61
75011,11,48.8594155,2.37874106,0,0,169,65
75012,12,48.83516869,2.419783391,0,0,73,65
75013,13,48.82871768,2.362468229,0,0,54,55
75014,14,48.82899321,2.327100883,0,0,90,95
75015,15,48.84015542,2.293559372,0,0,127,110
75016,16,48.86039876,2.262099559,0,0,78,87
75017,17,48.88733717,2.307485559,0,0,113,89
75018,18,48.89273507,2.348711934,0,0,49,61
75019,19,48.88686862,2.384694328,0,0,33,67
75020,20,48.86318678,2.400819827,0,0,85,46
75116,21,48.86039876,2.262099559,0,0,11,65
78600,22,48.9523369,2.151615949,0,0,0,1